term,freq,rank_f,doc_freq,rank_df
corrupción,2482,001,81.19,001
dinero,1863,002,77.81,003
estados_unidos,1625,003,69.45,026
empresas,1539,004,71.22,019
apoyo,1510,005,79.26,002
presupuesto,1509,006,69.13,028
política,1454,007,77.81,004
año,1376,008,71.86,017
trabajadores,1353,009,63.18,051
estados,1260,010,65.27,044
plan,1256,011,70.58,021
ciudadanos,1225,012,70.26,022
ayudar,1195,013,77.49,005
ciento,1190,014,66.24,038
tres,1177,015,74.6,008
casos,1172,016,73.95,009
salud,1169,017,59.49,071
trabajando,1146,018,72.67,014
nunca,1145,019,73.95,010
respeto,1115,020,72.19,016
pemex,1109,021,46.62,167
derecho,1095,022,72.35,015
democracia,1088,023,56.11,092
programa,1075,024,61.09,061
todas,1060,025,73.47,011
hecho,1045,026,72.99,013
seguir,1033,027,74.6,007
dar,1006,028,74.6,006
violencia,1004,029,55.31,099
hizo,1003,030,73.47,012
pueden,988,031,71.54,018
quiero,985,032,68.33,029
reforma,978,033,55.47,098
jóvenes,976,034,50.16,132
justicia,973,035,63.02,052
hicieron,970,036,69.45,025
pandemia,960,037,39.55,262
nacional,957,038,65.76,042
pública,955,039,69.77,023
empresa,951,040,52.89,108
recursos,939,041,64.79,045
situación,931,042,70.74,020
cada,926,043,67.36,033
digo,905,044,68.33,031
corresponde,903,045,69.13,027
millones,899,046,56.75,090
seguridad,890,047,61.09,060
bienestar,890,048,61.9,057
ayuda,883,049,61.9,056
cosa,880,050,68.01,032
pesos,876,051,61.9,055
aunque,876,052,68.33,030
llevar_cabo,875,053,69.45,024
problema,865,054,64.15,049
proceso,856,055,66.72,037
verdad,843,056,67.36,034
debe,835,057,65.76,041
nuevo,831,058,67.04,035
mal,826,059,64.31,048
vez,816,060,67.04,036
países,814,061,58.36,082
acerca,812,062,66.08,039
compromiso,805,063,62.7,053
trata,784,064,64.31,047
viendo,780,065,60.77,064
hablar,773,066,64.79,046
repito,770,067,66.08,040
periodo_neoliberal,767,068,57.23,088
transformación,767,069,53.54,107
pueda,766,070,63.99,050
medios,760,071,52.41,114
investigación,758,072,53.7,105
unidos,757,073,44.86,185
millones_pesos,753,074,58.68,078
vida,753,075,62.7,054
atender,751,076,60.93,062
agua,748,077,33.92,363
viene,743,078,59.49,072
ley,736,079,51.77,117
da,734,080,65.59,043
entregar,727,081,57.4,086
fiscalía,724,082,42.77,205
cambio,716,083,58.36,081
elementos,715,084,50.32,128
afortunadamente,704,085,59.0,076
partir,703,086,59.97,068
ciudad_méxico,702,087,52.57,113
adultos_mayores,695,088,40.68,241
dar_conocer,689,089,59.81,069
economía,686,090,45.66,173
avanzando,681,091,59.49,070
hacen,681,092,61.25,059
dónde,681,093,55.63,096
parece,678,094,60.93,063
ayudando,674,095,55.63,095
campaña,674,096,48.87,142
empresarios,668,097,48.23,151
mucha,665,098,60.77,065
mismo_tiempo,663,099,58.52,079
personas,663,100,57.56,085
significa,663,101,59.32,075
mujeres,662,102,33.92,362
forma,661,103,61.9,058
adelante,660,104,59.49,073
conservadores,658,105,48.39,149
pasa,657,106,59.97,067
contratos,656,107,41.64,225
cierto,648,108,60.61,066
saben,647,109,57.4,087
poder_judicial,645,110,39.07,266
libertad,643,111,51.61,118
cuánto,642,112,48.87,146
favor,639,113,55.95,093
llegar,632,114,57.88,083
terminar,631,115,56.43,091
pueblos,630,116,50.64,126
efecto,628,117,59.32,074
gran,628,118,55.79,094
gobernador,627,119,41.48,226
pueblo_méxico,626,120,55.14,100
hospitales,626,121,39.55,261
puede_ser,623,122,55.14,101
comisión_federal,623,123,30.06,451
llevando_cabo,621,124,58.68,077
ningún,621,125,57.72,084
confianza,616,126,49.52,136
resolver,614,127,53.86,104
mayoría,607,128,51.45,119
modo,607,129,56.91,089
seguro,600,130,52.73,111
momento,593,131,55.47,097
dejar,593,132,58.52,080
extranjero,590,133,50.96,124
maestros,587,134,34.24,356
fondo,585,135,50.32,129
guardia_nacional,584,136,36.66,307
electricidad,577,137,30.55,437
atendiendo,576,138,51.29,122
historia,575,139,49.2,138
fin,570,140,49.04,141
servidores_públicos,560,141,50.96,123
cuidar,558,142,50.8,125
comunicación,557,143,48.55,148
necesitamos,557,144,47.75,155
vacunas,557,145,19.45,938
relación,555,146,47.11,161
pregunta,553,147,50.32,130
gobierno_estados,551,148,36.33,316
hacemos,548,149,54.02,102
puedan,544,150,52.73,110
pagar,544,151,45.98,170
vacuna,541,152,19.94,904
familia,540,153,44.86,182
apoyar,539,154,49.36,137
tan,536,155,52.41,115
humanos,536,156,38.91,269
buena,533,157,53.86,103
grupo,530,158,44.37,190
problemas,529,159,52.73,112
buscar,526,160,50.32,127
mantener,525,161,52.89,109
mayor,523,162,49.84,134
pensando,519,163,50.0,133
puedo,518,164,49.68,135
posibilidad,515,165,51.45,121
desarrollo,514,166,44.37,188
podamos,514,167,51.45,120
igual,511,168,49.2,139
importa,508,169,47.59,157
autoridades,507,170,43.89,194
petróleo,503,171,29.42,474
cargo,499,172,48.87,143
social,497,173,47.75,156
reunión,496,174,45.82,172
dicho,496,175,51.93,116
vaya,495,176,50.16,131
sonora,493,177,28.46,507
siquiera,492,178,49.04,140
vemos,490,179,53.7,106
crisis,488,180,36.82,306
partido,487,181,35.69,328
gobierno_federal,486,182,45.34,176
responsabilidad,486,183,48.87,144
tampoco,486,184,48.87,145
avión,482,185,23.47,688
atención,478,186,42.6,209
entrega,477,187,44.86,183
pasado,474,188,47.11,160
sabe,473,189,46.95,163
buscando,472,190,47.11,159
